word,freq
scott,26686
path,26681
soft,26642
harm,26574
style,26569
community,26540
sees,26505
basically,26461
signal,26438
nope,26427
spare,26393
speech,26393
covered,26386
shake,26384
loose,26356
snow,26308
russian,26288
lake,26265
bright,26241
roof,26204
ohh,26185
sending,26184
paint,26174
remind,26171
pal,26163
naked,26122
post,26113
sugar,26110
heading,26098
streets,26067
damage,26061
silence,26053
doors,26020
pete,26016
success,25989
wet,25987
nah,25962
amount,25945
members,25937
kate,25931
manage,25874
safety,25861
returned,25860
harder,25812
fbi,25798
block,25785
showing,25785
fancy,25771
chef,25754
contract,25746
dig,25698
chest,25688
drinks,25643
dave,25633
buried,25623
brian,25604
trade,25560
journey,25518
stomach,25500
changes,25456
details,25451
thoughts,25436
divorce,25433
funeral,25423
maria,25422
football,25398
reality,25398
theory,25360
gosh,25335
ruined,25312
gate,25308
william,25303
spread,25291
outta,25290
japanese,25288
sudden,25262
coat,25261
sooner,25236
cheese,25222
larry,25197
spring,25184
page,25183
ears,25168
simon,25165
castle,25150
hidden,25143
storm,25143
cos,25116
personally,25058
artist,25056
hill,25054
exciting,25052
permission,24999
jerry,24979
expensive,24978
tickets,24973
forest,24943
barely,24909
eggs,24897
goin,24873
regret,24846
lesson,24843
lover,24842
bread,24828
andy,24822
subject,24820
legal,24785
growing,24779
ill,24763
jason,24753
mood,24739
owner,24722
caused,24686
beeping,24670
points,24659
dating,24645
loss,24625
secretary,24623
revenge,24565
santa,24532
likely,24527
rent,24451
connection,24450
assistant,24449
reasons,24431
yelling,24425
painting,24401
trees,24400
doctors,24380
rush,24375
foreign,24370
rough,24370
murderer,24363
century,24363
nights,24324
pair,24293
runs,24284
pocket,24261
farm,24254
matt,24245
bike,24233
obvious,24230
ate,24218
grew,24208
professional,24205
tim,24197
goodness,24190
parts,24186
alan,24104
university,24079
square,24077
grandfather,24064
europe,24042
genius,24032
cases,24023
ruin,24008
winter,24005
tongue,24001
memories,24000
buying,23941
cancer,23935
clock,23907
ocean,23905
dna,23889
liar,23882
tour,23875
thief,23870
bleep,23861
lisa,23839
rights,23824
including,23813
competition,23805
smith,23799
planned,23797
emily,23792
boring,23737
victims,23737
mentioned,23716
bones,23635
plant,23599
bless,23587
warning,23583
knocking,23577
crash,23547
bedroom,23542
lower,23529
silver,23523
groaning,23492
madame,23490
defense,23479
results,23478
toilet,23467
event,23463
complicated,23462
shape,23460
priest,23453
royal,23448
cheap,23430
romantic,23427
downstairs,23403
invite,23394
fortune,23379
tears,23377
avoid,23374
reached,23358
higher,23354
familiar,23348
telephone,23343
burning,23326
filled,23319
kelly,23313
alice,23311
airport,23293
jobs,23268
grown,23266
walter,23260
rachel,23258
giant,23227
insurance,23218
woods,23211
scare,23192
pleased,23158
period,23158
political,23126
player,23087
stops,23086
secrets,23070
laura,23050
repeat,23036
photos,23035
finds,23019
statement,22990
suck,22982
younger,22961
china,22926
humans,22912
delicious,22901
particular,22890
proper,22889
rome,22884
belongs,22870
attacked,22868
bath,22866
hired,22838
site,22834
knowledge,22822
led,22806
guests,22805
celebrate,22764
map,22726
horn,22716
eventually,22679
pity,22667
powers,22649
ashamed,22623
assume,22616
glasses,22604
rise,22596
fixed,22575
request,22533
officers,22496
pounds,22483
data,22478
carefully,22477
per,22472
depends,22413
jury,22389
waited,22384
positive,22369
attorney,22345
direction,22341
families,22338
doin,22289
forces,22284
location,22282
walls,22247
useless,22228
grant,22210
saving,22196
speaks,22181
fought,22170
meal,22145
deliver,22124
answers,22116
changing,22102
temple,22036
scary,22035
millions,22009
offered,21983
regular,21961
carrying,21905
official,21871
jacket,21863
switch,21862
grave,21831
chase,21830
role,21813
odd,21790
sexy,21774
faces,21771
becomes,21768
closes,21761
badly,21750
tall,21737
confused,21737
affair,21719
television,21718
shock,21717
raised,21712
panting,21711
pizza,21677
image,21669
clears,21657
golden,21644
patients,21543
watched,21542
committed,21517
sexual,21499
suffer,21496
arthur,21491
wherever,21483
plate,21466
appear,21449
chocolate,21440
clever,21429
mercy,21410
shots,21399
lucy,21366
dealing,21356
trap,21352
charges,21347
phil,21338
bang,21327
poison,21323
butt,21314
drove,21309
headed,21258
babies,21235
yellow,21226
soup,21202
mystery,21181
picking,21173
sat,21163
wound,21144
traffic,21084
courage,21070
hunt,21068
indian,21049
rat,21042
terms,21034
italian,21021
emma,21005
checking,20978
disease,20973
managed,20964
winner,20958
council,20941
appointment,20930
monday,20923
crack,20916
threat,20913
jenny,20899
physical,20898
nation,20894
source,20892
chose,20888
healthy,20853
carl,20851
victory,20846
rick,20835
stood,20827
kicked,20800
annie,20794
disgusting,20786
palace,20785
shopping,20754
neighborhood,20746
march,20744
lips,20725
midnight,20723
piss,20720
advantage,20711
pure,20685
india,20682
aside,20677
jerk,20633
mail,20627
dawn,20598
effect,20595
spell,20592
freak,20578
wood,20570
screwed,20566
enemies,20563
gary,20553
awake,20552
chuckling,20547
vacation,20544
violence,20527
leo,20521
grandmother,20515
modern,20496
luke,20488
firm,20482
prime,20480
heh,20476
touched,20462
talent,20450
whore,20444
piano,20426
license,20413
cooking,20410
honour,20377
concern,20376
moves,20349
available,20347
factory,20341
gods,20335
value,20324
central,20322
union,20316
mirror,20313
studio,20312
media,20306
taxi,20268
dies,20261
iron,20252
hearts,20232
desire,20229
rob,20228
claire,20226
fred,20224
songs,20215
washington,20212
monkey,20211
pride,20205
pills,20181
miracle,20179
swim,20171
burned,20170
smells,20103
joking,20073
christian,20041
bleeding,20017
hook,20015
beating,20006
protection,19995
treatment,19950
ear,19950
carter,19940
metal,19938
disappear,19933
grateful,19921
extremely,19901
treasure,19899
rescue,19892
capable,19848
passing,19834
chatter,19834
result,19823
suffering,19819
sisters,19817
laid,19791
governor,19790
guards,19757
louis,19754
text,19730
literally,19728
remove,19723
becoming,19723
performance,19713
stronger,19713
rate,19700
deeply,19685
scream,19681
desert,19666
vehicle,19664
illegal,19658
pulling,19630
throwing,19613
josh,19609
unbelievable,19591
ted,19583
zero,19582
dean,19581
curious,19576
sean,19572
candy,19571
bone,19546
tied,19530
edge,19515
load,19510
susan,19462
ahh,19459
mountains,19451
boom,19432
former,19422
holiday,19399
riding,19398
scoffs,19383
hundreds,19379
motherfucker,19379
sue,19375
bags,19374
stealing,19327
appears,19313
arrive,19306
remains,19299
decent,19294
issues,19278
tip,19263
fail,19258
bride,19249
pissed,19247
penny,19236
claim,19233
friendship,19225
desperate,19211
flower,19199
dramatic,19189
refuse,19168
solve,19166
theme,19163
loving,19152
properly,19152
dragon,19123
mostly,19116
chuck,19107
directly,19104
surface,19100
false,19075
cast,19073
junior,19055
hunting,19043
silent,19042
thou,19007
egg,19000
germany,18972
punch,18951
africa,18950
woke,18947
intelligence,18945
borrow,18900
winning,18898
falls,18897
popular,18896
escaped,18891
witch,18890
convinced,18875
warn,18847
announcer,18839
champagne,18824
dust,18820
kyle,18807
someday,18800
fallen,18795
stranger,18791
presence,18788
tear,18766
internet,18765
monsieur,18763
therefore,18733
technology,18679
tires,18678
toast,18638
wise,18634
clark,18625
americans,18614
notes,18614
smoking,18610
hank,18609
april,18608
wolf,18566
